name,body_region,category,subcategory,equipment,grip_type,grip_width,progression_order,rotation_group,video_url
Abdominals,Core,Abdominals,,,,,,,https://youtu.be/ZCVtF1Y4olY
Front Lever,Core,Front Lever,,,,,,,https://youtu.be/PocokgRXxA8
Ab Roll-Out - Kneeling,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/ZCVtF1Y4olY
Ab Roll-Out - Standing,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/Xubp_XAN0sA
Ab Roll-Out - Swiss Ball,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/hU_y-CUO258
and you will always  receive the updated version.,Lower Body,Abdominals,Flexion,,,,,,
Crunch - Incline - High Pulley,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/_ywKN4plApQ
Crunch - Kneeling - High Pulley,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/P7R9pc243yQ
Crunch - Pre-Stretch - Swiss Ball,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/AdeaIZtGQso
Crunch - Seated - High Pulley,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/-xCCoIL7oXk
Crunch - Supine,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/cigLlN3KYrk
Crunch - Swiss Ball,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/bZDDRMh34WY
Crunch - Swiss Ball - Low Pulley,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/n3tCFh2CQiQ
Dragon Flag,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/elnS5BgnPEg
Garhammer Raise - Hanging,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/vimfZ2NPIPo
Garhammer Raise - Incline,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/YJpoPgdzvsY
Hip Raise - Supine,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/tFvC4EBytJw
Jackknife - Swiss Ball,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/Ki28d3JyNvM
Jackknife - Swiss Ball - Unilateral,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/TI5PsHVTKvQ
Knee Pull-In - Supine - Low Pulley,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/T9VIUYJy450
Knee Pull-In - Swiss Ball,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/f9AlrfUHFe4
Knee Pull-In - Swiss Ball - Unilateral,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/PfeJtmUxI20
Leg Raise - Flat,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/1J-O4NW3f7I
Leg Raise - Hanging,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/9vL8znjbu7o
Leg Raise - Incline,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/T-8hgQlvhl0
Low Ab Drill - Bent-Knee - Feet Down - Unilateral,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/4-4LlU2Up4w
Low Ab Drill - Bent-Knee - Feet Up - Bilateral,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/KL_H8ZoV0Jg
Low Ab Drill - Bent-Knee - Feet Up - Unilateral,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/k4J3xYqtLSk
Low Ab Drill - Straight-Leg - Bilateral,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/JtDYPS59YU8
Sit-Up - Janda,Lower Body,Abdominals,Flexion,,,,,,https://youtu.be/8qQkaw1r2ic
Thank you for your continued support.,Lower Body,Abdominals,Flexion,,,,,,
We will continue to grow our Exercise Database,Lower Body,Abdominals,Flexion,,,,,,
Ab Rotation - Feet on Swiss Ball,Lower Body,Abdominals,Rotation,,,,,,https://youtu.be/mTj-_W7SRd8
Ab Rotation - Seated,Lower Body,Abdominals,Rotation,,,,,,https://youtu.be/S08kWD7-GM0
Pallof Press - Kneeling - Mid Pulley,Lower Body,Abdominals,Rotation,,,,,,https://youtu.be/_FdtOsYlQTE
Pallof Press - Mid Pulley,Lower Body,Abdominals,Rotation,,,,,,https://youtu.be/egi7i7HFpew
Russian Twist - Swiss Ball,Lower Body,Abdominals,Rotation,,,,,,https://youtu.be/2J9F1OQUKbk
Wood Chop - High Pulley,Lower Body,Abdominals,Rotation,,,,,,https://youtu.be/zk3kuQ6FBAI
Wood Chop - Kneeling - High Pulley,Lower Body,Abdominals,Rotation,,,,,,https://youtu.be/rbkEwprWpIk
Wood Chop - Kneeling - Low Pulley,Lower Body,Abdominals,Rotation,,,,,,https://youtu.be/XL8_yR5pFGA
Wood Chop - Low Pulley,Lower Body,Abdominals,Rotation,,,,,,https://youtu.be/JVHe3XP7a00
Plank - Birddog,Lower Body,Abdominals,Stabilization,,,,,,https://youtu.be/1CVUzp4aGv8
Plank - Contralateral,Lower Body,Abdominals,Stabilization,,,,,,https://youtu.be/fJvQKGjgV2c
Plank - Copenhagen - Dips,Lower Body,Abdominals,Stabilization,,,,,,https://youtu.be/uHPJVnu9Btg
Plank - Copenhagen - Long Lever,Lower Body,Abdominals,Stabilization,,,,,,https://youtu.be/EooHn6ZKEAo
Plank - Copenhagen - Short Lever,Lower Body,Abdominals,Stabilization,,,,,,https://youtu.be/0M895tV7jWk
Plank - Front,Lower Body,Abdominals,Stabilization,,,,,,https://youtu.be/csSc-lJSXDs
Plank - Front - Swiss Ball,Lower Body,Abdominals,Stabilization,,,,,,https://youtu.be/Bjp6RAnNPZA
Plank - One-Arm,Lower Body,Abdominals,Stabilization,,,,,,https://youtu.be/ezj7PLA_gjI
Plank - One-Leg,Lower Body,Abdominals,Stabilization,,,,,,https://youtu.be/TT_MZU9aNvQ
Plank - Rotation,Lower Body,Abdominals,Stabilization,,,,,,https://youtu.be/2a19aMVm2SQ
Plank - Side,Lower Body,Abdominals,Stabilization,,,,,,https://youtu.be/fAMp1c1ezJY
Plank - Stir the Pot,Lower Body,Abdominals,Stabilization,,,,,,https://youtu.be/uMojee2z9Q4
Plank - Walk Out,Lower Body,Abdominals,Stabilization,,,,,,https://youtu.be/nq9mEha9CF8
Renegade Row,Lower Body,Abdominals,Stabilization,,,,,,https://youtu.be/7y3yJOsUwMw
Renegade Row - DB,Lower Body,Abdominals,Stabilization,,,,,,https://youtu.be/oG5ggsA51qw
Anterior Tibialis Raise - Machine - Seated,Lower Body,Calves,Anterior Tibialis,,,,,,https://youtu.be/bTleaFqaR6M
Anterior Tibialis Raise - Machine - Seated - Unilateral,Lower Body,Calves,Anterior Tibialis,,,,,,https://youtu.be/2qf57K0fEQ8
Anterior Tibialis Raise - Seated - Banded,Lower Body,Calves,Anterior Tibialis,,,,,,https://youtu.be/yNxXfe7t2As
Anterior Tibialis Raise - Seated - Banded - Unilateral,Lower Body,Calves,Anterior Tibialis,,,,,,https://youtu.be/Pea7oU5AtYk
Anterior Tibialis Raise - Standing,Lower Body,Calves,Anterior Tibialis,,,,,,https://youtu.be/XSTcIB2ZpmU
Anterior Tibialis Raise - Standing - Bent-Knee,Lower Body,Calves,Anterior Tibialis,,,,,,https://youtu.be/et6hKDrb4tw
Calf Extension - Leg Press,Lower Body,Calves,Gastrocnemius,,,,,,https://youtu.be/gtPkagE-2os
Calf Extension - Leg Press - Unilateral,Lower Body,Calves,Gastrocnemius,,,,,,https://youtu.be/1arcURaFXCs
Calf Raise - Standing - DB - Unilateral,Lower Body,Calves,Gastrocnemius,,,,,,https://youtu.be/0YcO6zv1qPE
Calf Raise - Standing - Duchaine - DB - Unilateral,Lower Body,Calves,Gastrocnemius,,,,,,https://youtu.be/_-SDWb38vx0
Calf Raise - Standing - Machine,Lower Body,Calves,Gastrocnemius,,,,,,https://youtu.be/ceQ3chck3Zw
Calf Raise - Standing - Machine - Unilateral,Lower Body,Calves,Gastrocnemius,,,,,,https://youtu.be/72DRhKYLbgI
Calf Raise - Seated - Machine,Lower Body,Calves,Soleus,,,,,,https://youtu.be/axEFIdSPFrs
Calf Raise - Seated - Machine - Unilateral,Lower Body,Calves,Soleus,,,,,,https://youtu.be/4T0BUSY-rNI
Calf Raise - Squat - Toes Elevated,Lower Body,Calves,Soleus,,,,,,https://youtu.be/iTANE_D4VaU
Calves,Lower Body,Calves,,,,,,,https://youtu.be/bTleaFqaR6M
Deadlift - 2” Deficit - Medium Grip,Lower Body,Deadlift,Long Range,,,,,,https://youtu.be/F1_TxjJJ5TU
Deadlift - 2” Deficit - Wide Grip,Lower Body,Deadlift,Long Range,,,,,,https://youtu.be/6OV0hvcA7bM
Deadlift - 4” Deficit - Medium Grip,Lower Body,Deadlift,Long Range,,,,,,https://youtu.be/qX-QaK1fd-E
Deadlift - 4” Deficit - Wide Grip,Lower Body,Deadlift,Long Range,,,,,,https://youtu.be/nh3uonRoRCM
Deadlift - Sumo,Lower Body,Deadlift,Long Range,,,,,,https://youtu.be/9cfoVhVCv8U
Deadlift - Trap Bar - High Handles,Lower Body,Deadlift,Long Range,,,,,,https://youtu.be/DOhfgggUzXM
Deadlift - Trap Bar - Low Handles,Lower Body,Deadlift,Long Range,,,,,,https://youtu.be/2mxgAGII_d8
Deadlift - Rack - Above Knee - Medium Grip,Lower Body,Deadlift,Short Range,,,,,,https://youtu.be/UIk44Lbr0zg
Deadlift - Rack - Above Knee - Wide Grip,Lower Body,Deadlift,Short Range,,,,,,https://youtu.be/CzZxERijOsA
Deadlift - Rack - Below Knee - Medium Grip,Lower Body,Deadlift,Short Range,,,,,,https://youtu.be/MT0f1Xe70Zc
Deadlift - Rack - Below Knee - Wide Grip,Lower Body,Deadlift,Short Range,,,,,,https://youtu.be/U-Q32wXxF2k
Deadlift - Rack - Mid Thigh - Medium Grip,Lower Body,Deadlift,Short Range,,,,,,https://youtu.be/ErwZFCeeBC0
Deadlift - Rack - Mid Thigh - Wide Grip,Lower Body,Deadlift,Short Range,,,,,,https://youtu.be/sfTzLjLBv6w
Deadlift,Lower Body,Deadlift,,,,,,,https://youtu.be/XO9suuKJWVc
Goodmorning - Seated - BB - Medium Stance,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/NvwlvRYspJI
Goodmorning - Seated - BB - Wide Stance,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/W2tCytW6Seo
Goodmorning - Seated - Cambered Bar - Medium Stance,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/xgLmFRz96-k
Goodmorning - Seated - Cambered Bar - Wide Stance,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/UMxsfi3MmU8
Goodmorning - Seated - DB - Medium Stance,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/kMAnXcvgt9o
Goodmorning - Seated - DB - Wide Stance,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/MzUy64Se1DI
Goodmorning - Seated - Low Pulley - Medium Stance,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/ktM6CMUY0Fg
Goodmorning - Seated - Low Pulley - Wide Stance,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/6PBLJF2gTHc
Goodmorning - Standing - BB - Medium Stance,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/8AkxYD-cGZI
Goodmorning - Standing - BB - Wide Stance,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/0CmZ4OQbo-8
Goodmorning - Standing - B Stance - BB,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/Mq3f12VorXg
Goodmorning - Standing - B Stance - Cambered Bar,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/nszf0kEJK48
Goodmorning - Standing - B Stance - Safety Bar,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/NfmYOtujPt8
Goodmorning - Standing - Cambered Bar,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/-iPfz3wuYrA
Goodmorning - Standing - Pin Touch - BB - Bottom Range,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/NopJZryfRx0
Goodmorning - Standing - Pin Touch - BB - Mid Range,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/ENe7LQET_44
Goodmorning - Standing - Pin Touch - Safety Bar - Bottom Range,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/CLVjQozQavg
Goodmorning - Standing - Pin Touch - Safety Bar - Mid Range,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/kDlX-7YByGE
Goodmorning - Standing - Safety Bar,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/ncNxQhyP-eU
Jefferson Curl - BB,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/i7DMdebFEuY
Jefferson Curl - Toes Elevated - BB,Lower Body,Hip Extension,Bottom Range,,,,,,https://youtu.be/Uz5IoNRbk54
Back Extension - Incline,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/bVfPhpJ9XI4
Back Extension - Incline - Back - BB,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/ihQomtzGl-g
Back Extension - Incline - Bands,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/iXZBnCTasG8
Back Extension - Incline - DB,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/ZmCiomm96Og
Back Extension - Incline - DB - Accentuated Eccentric,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/02aJT-j1HmE
Back Extension - Incline - Front - BB,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/65FdvLlp8nA
Back Extension - Incline - Unilateral,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/63LWfrTpkp4
Deadlift - Romanian - BB - Medium Grip,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/HNgKYx2ayM8
Deadlift - Romanian - BB - Wide Grip,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/aoblSeHYo9c
Deadlift - Romanian - B Stance - BB - Medium Grip,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/MQYP9AATcvY
Deadlift - Romanian - B Stance - DB,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/1qk1Mgt4NhU
Deadlift - Romanian - DB,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/wZCcnXWZ9kw
Deadlift - Single-Leg Romanian - BB - Contralateral,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/pktJsFYqguI
Deadlift - Single-Leg Romanian - BB - Ipsilateral,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/d0ZDf_oKTjY
Deadlift - Single-Leg Romanian - BB - Medium Grip,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/F0pEsNjgd5M
Deadlift - Single-Leg Romanian - BB - Wide Grip,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/m_T3it_aWRQ
Deadlift - Single-Leg Romanian - DB,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/9LkM1Kxo26c
Deadlift - Single-Leg Romanian - DB - Contralateral,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/BdWz-a-9vKQ
Deadlift - Single-Leg Romanian - DB - Ipsilateral,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/OcH1vIi0NMw
Deadlift - Single-Leg Romanian - Low Pulley - Contralateral,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/bZ_fsk_XJ4g
Deadlift - Single-Leg Romanian - Low Pulley - Ipsilateral,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/Joxi0kKcZI4
Deadlift - Single-Leg Romanian - Low Pulley - Rope,Lower Body,Hip Extension,Mid Range,,,,,,https://youtu.be/h-8I9uUpJuA
Glute Bridge,Lower Body,Hip Extension,Stabilization,,,,,,https://youtu.be/aFuricK5JMk
Glute Bridge - Unilateral,Lower Body,Hip Extension,Stabilization,,,,,,https://youtu.be/HWrXxOlBUh8
Hip Extension - Supine,Lower Body,Hip Extension,Stabilization,,,,,,https://youtu.be/QU_XAyjiLkE
Hip Extension - Supine - Swiss Ball,Lower Body,Hip Extension,Stabilization,,,,,,https://youtu.be/2LMI7rZYYBU
Hip Extension - Supine - Swiss Ball - Unilateral,Lower Body,Hip Extension,Stabilization,,,,,,https://youtu.be/uDNl48fgGoQ
Hip Extension - Supine - Unilateral,Lower Body,Hip Extension,Stabilization,,,,,,https://youtu.be/0WU7X9ty924
King Deadlift,Lower Body,Hip Extension,Stabilization,,,,,,https://youtu.be/5l0KkDgyPgY
King Deadlift - DB,Lower Body,Hip Extension,Stabilization,,,,,,https://youtu.be/WzqaFQunLoU
King Deadlift - Mid Range,Lower Body,Hip Extension,Stabilization,,,,,,https://youtu.be/P4QLMYaBPNs
Back Extension - Horizontal,Lower Body,Hip Extension,Top Range,,,,,,https://youtu.be/NgVnDye98Q8
Back Extension - Horizontal - Back - BB,Lower Body,Hip Extension,Top Range,,,,,,https://youtu.be/eCvr46_BjwM
Back Extension - Horizontal - DB,Lower Body,Hip Extension,Top Range,,,,,,https://youtu.be/niVzVzuz7IY
Back Extension - Horizontal - DB - Accentuated Eccentric,Lower Body,Hip Extension,Top Range,,,,,,https://youtu.be/Uz-1xyQgLFE
Back Extension - Horizontal - Front - BB,Lower Body,Hip Extension,Top Range,,,,,,https://youtu.be/-x9e2rEUlQM
Back Extension - Horizontal - Unilateral,Lower Body,Hip Extension,Top Range,,,,,,https://youtu.be/QSzTiTTrSAg
Hip Thrust - Machine,Lower Body,Hip Extension,Top Range,,,,,,https://youtu.be/dKAthsrYBzU
Hip Thrust - Machine - Banded,Lower Body,Hip Extension,Top Range,,,,,,https://youtu.be/u3U3swpipuA
Hip Thrust - Machine - Unilateral,Lower Body,Hip Extension,Top Range,,,,,,https://youtu.be/EbjAwdMYsfg
Pull-Through - Low Pulley,Lower Body,Hip Extension,Top Range,,,,,,https://youtu.be/-jvcxvgyp20
Reverse Hyper - Feet Medium,Lower Body,Hip Extension,Top Range,,,,,,https://youtu.be/rcz3ted_cyo
Reverse Hyper - Unilateral,Lower Body,Hip Extension,Top Range,,,,,,https://youtu.be/hBPPfjWNex0
Hip Extension,Lower Body,Hip Extension,,,,,,,https://youtu.be/NgVnDye98Q8
Leg Press - Duck - Medium Stance,Lower Body,Knee Extension,Leg Machine,,,,,,https://youtu.be/MhWrxC_aAA8
